spine,legs,N,depth,nash,states,time_ms
3,0,3,_,2,123504,20
4,0,4,_,2,123504,15
5,0,5,_,2,123504,18
6,0,6,_,2,123504,17
7,0,7,_,2,123504,16
8,0,8,_,2,123504,15
9,0,9,_,2,123504,15
10,0,10,_,2,123504,15
11,0,11,_,2,123504,15
12,0,12,_,2,123504,14
3,1,6,_,3,152,4
4,1,8,_,3,786,5
5,1,10,_,3,4349,6
6,1,12,_,3,25038,8
7,1,14,_,3,140871,20
8,1,16,_,3,796062,92
9,1,18,_,3,2238731,245
10,1,20,_,3,5682846,626
11,1,22,_,3,18216367,2015
12,1,24,_,3,27738287,2870
3,2,9,_,2,2244,5
4,2,12,_,4,46668,9
5,2,15,_,4,839260,108
6,2,18,_,4,4718732,459
7,2,21,_,4,18052417,1673
8,2,24,_,4,57602767,4923
9,2,27,_,4,249121866,20384
10,2,30,_,4,1472875263,113309
3,3,12,_,5,56180,12
4,3,16,_,5,1952627,189
5,3,20,_,5,14732015,1339
6,3,24,_,5,69264735,6249
7,3,28,_,5,506363706,42038
8,3,32,_,5,4524453895,326946
3,4,15,_,3,646977,67
4,4,20,_,6,18173728,1468
5,4,25,_,6,137513033,9346
6,4,30,_,6,2649740866,169066
